,Country/Currency,currency,value
0,Australia Dollar,AUD,1.585149
1,Australia Dollar,AUD,1.585149
2,Great Britain Pound,GBP,0.850791
3,Great Britain Pound,GBP,0.850791
4,Euro,EUR,1.0
5,Euro,EUR,1.0
6,Japan Yen,JPY,128.014903
7,Japan Yen,JPY,128.014903
8,Switzerland Franc,CHF,1.042123
9,Switzerland Franc,CHF,1.042123
10,USA Dollar,USD,1.132945
11,USA Dollar,USD,1.132945
12,Afghanistan Afghani,AFN,108.65273
13,Albania Lek,ALL,120.94242
14,Algeria Dinar,DZD,157.460142
15,Angola Kwanza,AOA,640.272721
16,Argentina Peso,ARS,114.446324
17,Armenia Dram,AMD,552.854786
18,Aruba Florin,AWG,2.039868
19,Azerbaijan New Manat,AZN,1.921299
20,Bahamas Dollar,BSD,1.132545
21,Bahrain Dinar,BHD,0.427161
22,Bangladesh Taka,BDT,97.147972
23,Barbados Dollar,BBD,2.286799
24,Belarus Ruble,BYR,22205.731571
25,Belize Dollar,BZD,2.282918
26,Bermuda Dollar,BMD,1.132945
27,Bhutan Ngultrum,BTN,84.784583
28,Bolivia Boliviano,BOB,7.80904
29,Bosnia Mark,BAM,1.956599
30,Botswana Pula,BWP,13.223491
31,Brazil Real,BRL,6.368176
32,Brunei Dollar,BND,1.543748
33,Bulgaria Lev,BGN,1.953767
34,Burundi Franc,BIF,2260.226249
35,CFA Franc BCEAO,XOF,655.975105
36,CFA Franc BEAC,XAF,656.23821
37,CFP Franc,XPF,119.642343
38,Cambodia Riel,KHR,4609.955729
39,Canada Dollar,CAD,1.444579
40,Cape Verde Escudo,CVE,111.249881
41,Cayman Islands Dollar,KYD,0.943792
42,Chili Peso,CLP,945.397361
43,China Yuan/Renminbi,CNY,7.214705
44,Colombia Peso,COP,4473.44659
45,Comoros Franc,KMF,494.389044
46,Congo Franc,CDF,2269.289611
47,Costa Rica Colon,CRC,711.249672
48,Croatia Kuna,HRK,7.519471
49,Cuba Convertible Peso,CUC,1.132945
50,Cuba Peso,CUP,30.023055
51,Czech Koruna,CZK,25.498029
52,Denmark Krone,DKK,7.436144
53,Djibouti Franc,DJF,201.619279
54,Dominican Republich Peso,DOP,64.02394
55,East Caribbean Dollar,XCD,3.061842
56,Egypt Pound,EGP,17.797781
57,El Salvador Colon,SVC,9.909984
58,Ethiopia Birr,ETB,53.543128
59,Falkland Islands Pound,FKP,0.844536
60,Fiji Dollar,FJD,2.407486
61,Gambia Dalasi,GMD,59.356269
62,Georgia Lari,GEL,3.540449
63,Ghana New Cedi,GHS,6.94528
64,Gibraltar Pound,GIP,0.844536
65,Guatemala Quetzal,GTQ,8.762123
66,Guinea Franc,GNF,10564.716683
67,Guyana Dollar,GYD,236.845221
68,Haiti Gourde,HTG,111.976513
69,Honduras Lempira,HNL,27.383014
70,Hong Kong Dollar,HKD,8.828104
71,Hungary Forint,HUF,362.940225
72,Iceland Krona,ISK,146.598547
73,India Rupee,INR,84.794795
